 ,Area,Mean,Min,Max,X,Y
1,0,11,11,11,47.000,240.000
2,0,2,2,2,194.500,210.500
3,0,11,11,11,252.500,164.500
4,0,11,11,11,263.500,212.500
5,0,7,7,7,483.500,229.500
6,0,15,15,15,597.500,208.500
7,0,15,15,15,521.500,262.500
8,0,10,10,10,484.500,243.500
9,0,11,11,11,319.500,253.500
10,0,15,15,15,281.500,261.500
11,0,0,0,0,180.500,252.500
12,0,12,12,12,153.500,258.500
13,0,15,15,15,109.500,251.500
14,0,11,11,11,88.500,251.500
15,0,11,11,11,47.000,240.000
16,0,2,2,2,194.500,210.500
17,0,11,11,11,252.500,164.500
18,0,11,11,11,263.500,212.500
19,0,7,7,7,483.500,229.500
20,0,15,15,15,597.500,208.500
21,0,15,15,15,521.500,262.500
22,0,10,10,10,484.500,243.500
23,0,11,11,11,319.500,253.500
24,0,15,15,15,281.500,261.500
25,0,0,0,0,180.500,252.500
26,0,12,12,12,153.500,258.500
27,0,15,15,15,109.500,251.500
28,0,11,11,11,88.500,251.500
