 ,Area,Mean,Min,Max,X,Y,Ch
1,0,248,248,248,51.624,158.510,1
2,0,248,248,248,291.789,130.799,1
3,0,248,248,248,357.108,93.191,1
4,0,8,8,8,370.964,140.036,1
5,0,8,8,8,432.985,145.314,1
6,0,8,8,8,588.696,134.758,1
7,0,8,8,8,527.335,182.263,1
8,0,8,8,8,471.912,165.768,1
9,0,8,8,8,337.314,175.005,1
10,0,8,8,8,252.201,184.242,1
11,0,8,8,8,180.284,173.686,1
12,0,24,24,24,144.655,176.985,1
13,0,64,64,64,75.376,173.026,1
14,0,248,248,248,58.881,170.387,1
15,0,248,248,248,51.624,158.510,1
16,0,248,248,248,291.789,130.799,1
17,0,248,248,248,357.108,93.191,1
18,0,8,8,8,370.964,140.036,1
19,0,8,8,8,432.985,145.314,1
20,0,8,8,8,588.696,134.758,1
21,0,8,8,8,527.335,182.263,1
22,0,8,8,8,471.912,165.768,1
23,0,8,8,8,337.314,175.005,1
24,0,8,8,8,252.201,184.242,1
25,0,8,8,8,180.284,173.686,1
26,0,24,24,24,144.655,176.985,1
27,0,64,64,64,75.376,173.026,1
28,0,248,248,248,58.881,170.387,1
